0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:47:04 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2969
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:47:04 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:47:07 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:47:07 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:47:07 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:47:19 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:47:19 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:47:19 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:47:26 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2969
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:47:26 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:47:27 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:47:27 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:48:29 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1771
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:48:29 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:48:29 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 681
